Q105,Q99,Q130,Q131,Q132,Q134,Q123,Q124,Q125,Q127,Q61,Q62,Q63,Q79,Q80,Q81a,Q57,Q58,Q59,Q37,Q36,Q31,Q32,Q141,Q142,Q143,Q136,Q137,Q138,Q54,Q55,Q44,Q45,Q92,Q81b,Q93,Q109,Q103,Q117,Q111,Q155,Q30,Q144,Q139,Q97,Q84,Q96a
,,,,,,var1=designatedFloor,var2=currentFloor,var3=numOfFloorsToGo,doorState,,,,,,,,,,,,timeAccumulated,mineMap,,,,C_benefitsPerMonth,C_EntitlingSum,currentMonthBenefitsCount,C_weeklyWorkHours,overtimeRate,,,,,gridState,,,,,,"difficultyLevel(width, height,minesNumber)",,"benefitsCurrentBalance(currentMonthBenefitsCount, currentMonthUsedBenefitsCount)",,,displayGrid()
size,,original_floor_index,designated_floor_index,floor_delta,is_door_open,,,,,,,,cheese_location,locations_visited,labyrinth_data,,,,,,,,,,,,,,,,,,,,game_grid,"check_if_extending_file_is_possible(file, new_file_size, disk_free_space)",,,,,,,,,,display_game_grid(game grid)
,file_size,,,,,new_floor,curr_floor,floor_diff,bool door_open,,,,,,,curr_cheese_location,visited_locations,maze,,,,,,,,,,,,,,,,tic_tac_toe_board,,,possible_to_increase_file_size,,,,,,,,display_board(mat board),
,,,,,,destination_floor,curr_floor,num_floors_to_move,door_state,,,,cheese_location,areas_already_visited,labyrinth_areas_graph,,,,GameTime: realNumber,MinesInfoMap,,,max_number_of_treats,treat_price,current_number_of_treats,,,,,,workhours_per_week,overtime_hour_rate,,,,,,,,"returnGameLevel(gridsize: INT, mines: array[ [mineSize: INT, number_of_occurences : INT ]]",,"get_available_treats(current_number_of_treats: INT, used_treats: INT): BOOL",,,,
,,,,,,,,,,,,,,,,,,,,,,,MAX_MONTH_PINUKIM,MIN_PAY_FOR_PINUK,numOfPinukim,,,,,,,,,,GameBoard,,,,,,,boolean canGetPinuk(num,,,,Display ()
,,,,,,input_floor,current_floor,floors_diff,is_closed,,,,,,,,,,,,game_duration,is_bomb,,,,,,,REQUIRED_HOURS,overtime_rate,,,,,,,,"calculate_how_many_sandwiches(biscuits, ice_cream_cups, papers)",,,"get_diificulty(border_size, bombs_num)",,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Weekly_hours,Extra_time_additional_rate,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,board,,,,,,,,,,,display_board(int [] [] board),
,,,,,,dest,currentPlace,distance,isOpen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,amountCanBeMade(),,,,,,,
,,,,,,target_floor,current_floor,number_of_floors_to_climb,is_open,,,,,,,,,,,,elapsedTime,MineField,,,,,,,,,,,board,,,,,,,,"analyzeToughness(int height, int width, int numberOfMines)",,,drawBoard (Board board),,
,,destFloor,currFloor,diffFloors,Bool isOpen,,,,,,,,,,,,,,,,Long duration,Int mineOrAdjCount,,,,maxBenefits,benefitValue,numBenefits,,,,,,,,,,"Int calcQuantity(int numBiscuits, int numVaillaCups  int paperLength, int paperWidth)",,,"Int difficulty(int numMines, int boardsWidth, int boardHeight)",,Bool isEligible(string customerId),,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,השאלה לא ברורה,,,,,,,
,,enterd_floor,curent_floor,move_floors,DoorIsOpen,,,,,cheese_posion,visited,maze,,,,,,,,,,,max_pinukim,min_many_for_pinuk,num_pinukim,,,,,,,,,,game_screen,,,"how_many_sandwiches(biscuits,cups of ice cream, higth paper, wigth paper)",,,,"boolian isHavePinukim(num_pinukim,num_pinukim_done)",,,,display_game(game_screen)
fsize,,dest_floor,curr_floor,floor_diff,is_door_open,,,,,,,,,,,,,,timer,mine_data_grid,,,,,,MAX_ACC_BENEFITS,MAX_BENEFIT_VALUE,curr_month_benefits_amount,,,max_noramal_rate_hours,overhour_rate,,,,"boolean is_resizeable(long f_size, long disk_size)",,,,"int difficulty(int grid_width, int grid_height, mines_count)",,,"boolean is_entitled(int curr_month_benefits, int used_benefits)",,,
,,destFloor,currFloor,velocity,isDoorOpen,,,,,,,,,,,currLocationCheese,visitedCells,maze,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,m_nSize,,,,,nDstfloor,nCurrentFloor,nNumOfFloorsToMove / nDeltaFloor,bIsDoorOpen,,,,,,,,,,,,,,MAX_GIFTS_PER_MONTH,CREDITS_PER_GIFT,nGiftsInCurrentMonth,,,,,,,,,,,,"No need for such function. The function does not need the file argument. If we insist then: CanFileBeEnlarged(cFile, nAdditionalFileSize, nAvailableDiskSpace)",,,,,"bool UseGife(nGiftsInCurrentMonth, nGiftsUsed)",,,,
,size,,,,,,,,,,,,,,,,,,,,,,MAX_PINUKIM,PINUK_WORTH,num_pinukim,,,,,,,,Board,,,,"expand_file(int add_size, int size_left)",,,,,"boolean is_pinuk_allowed(int total, int used)",,show_board(char[][] board),,
,,,,,,,,,,,,,current_cheese_location,rooms_visited,maze,,,,,,,,,,,,,,HOURLY_WAGE_PAY_INCREASE_THREs,SHOLD,,,,,,,,,,,,,,,,
,,,,,,targetFloor,currentFloor,distance,doorState,,,,,,,currentCheeseLoc,visitedRooms,Maze,gameTime,grid,,,,,,,,,,,,,,,,,,,,"int getDifficulty(int height, int width, int numMines)",,,,,,
,file_size,new_location,current_locarion,number_of_floors_to_move,is_door_open,,,,,,,,cheese_loc,checked_locs,labyrinth,,,,,,,,,,,,,,,,,,,,,,can_file_size_be_increased,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Status,,,,,,,,,,,"Bool draw(const Board* b,const unsigned int N, const unsigned int M)",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,currentGameState,,,,,,,,,,,show_grid(currentGameState)
,size,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"bool increase(File file, int increaseBy, int availableSpace)",,,,,,,,,
,file_size,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gameboard_state,,,Check_if_increase_possible,,,,,,,,display_state(gameboard_state),
,,,,,,,,,,,,,Target,,Labyrinth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,currLocation,locationHistory,maze,,,timeLeft,gameBoard,maxTreatsPerMonth,singleTreatCharge,eligibleTreatsCurrMonth,,,,,,,,,,,,,,,,"getDifficulty(width,length,mineCount)",hasMoreTreats,,,,
,,desiredFloor,currentFloor,floorsToMove,isDoorOpen,,,,,,,,,,,,,,,,,,,,,MAX_NUMBER_OF_BENEFITS,expense,nBenefitsEntitled,,,,,,,,,,"int HowMuchIcecreamCanIMake(float nBiscuits, float nOfCups, float area)",,,,,,,,
,,,,,,,,,,,,,,,,,,,GameTime,Cell,,,MaxBenefitsPerMonth,AmountPerBenefit,CountBenefits,,,,,,,,,,game,,,,,"GameDifficulty GetGameDifficulty(int rows, int cols, numberOfMines)",,"bool CheckQuota(int benefits, int amountNeeded, int amountUsed)",,,,void DrawGrid()
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MfileSize,RequestedFloor,CurrentFloor,FloorDelta,IsDoorOpen,,,,,,,,,,,,,,,,MgameElapsedTime,MCellState,,,,,,,,,,,,MBoard,,,"CheckFileIncrease(file,newSize,spacer)",,,,"GetDifficulty(height,width,mines)",,,,DisplayBoard(step),
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,size,,,,,,,,,,,,cheeseLoc,cheeseLocPast,labyrinth,,,,,,timer,boardProerties,,,,benefitsLimit,LowBoundILS,numOfBenefitsAllowed,,,,,,boardState,,,"canIncreasw(file f,int space)",,"calcNumOfCaset(int shokoBis,float Canul, list paper)",,"gameLevel(int dimBoard, int numMokesh)",,canUseBenefit(user u),,boardDisplay(list boardMat),
,,desiredFloor,currentFloor,floorsToGo,isDoorClosed,,,,,targetLocation,visited,maze,,,,,,,,,timeElapsed,minesMap,,,,BENEFITS_ACCUMULATED_LIMIT,ILS_PER_BENEFIT,benefitsBalance,,,,,,,,,,,,,"public static DifficultyLevel getDifficultyLevel(int boardSize, int minesCount)",,"boolean hasRemainingBenefits(int startingBalance, int amountUsed)",,,
,File_size,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Increase_size(File file, int size_increase, int available_space)",,,,,,,,,
,dFileSize,,,,,,,,,locCheeseLocation,"lstVisitedRooms (אפשר לחלק את המבוך ל""חדרים"" ו""מעברים"" ולשמור אותם. כל ""חדר"" הוא מבוי סתום).","mzMaze. שמכיל את מיקום הגבינה, מיקום העכבר הנוכחי, רשימת החברים שהעכבר ביקר בהם. ועץ החדרים(/מעברים). חדרים הם data structure קצת יותר מורכב אם לא מדובר במבוך עם מעברים מלבניים.",,,,,,,,,,,,,,MAX_BENEFITS_PER_MONTH,PRICE_FOR_BENEFIT,nEntitledBenefits,,,,,,,"למה החלק הזה של השאלון באנגלית? לא אוהב כל כך את ההתייפיפות סביב ישראלים בישראל שמדברים אנגלית, במגזר ההייטק... לא מסתדר לי אידיאולוגית. לעניין השאלה: קלאסי לממש מטריצה (מערך של מערכים) שמכיל enums של: ריק, איקס, עיגול",,"bool IsEnoughSpaceForFileEnlarge(File file, double dNewSize, FileSystem fsFileSystem). כמובן שבתרחיש כזה לא מספיק לדעת *כמה* מקום פנוי יש על הדיסק, צריך גם לדעת כמה מקום פנוי רצוף יש על הדיסק. ה-FileSystem כבר ינהל איפה לשים את הקובץ. אם הייתי מקבל פרמטר כמה מקום פנוי רצוף הכי גדול יש על הדיסק, לא הייתי צריך פונקציה כדי לממש את הבדיקה הזו. בשורה אחת הייתי בודק. את הקובץ עצמו צריך רק כדי לחשב את המקום הפנוי הכי גדול על הדיסק כולל המקום של הקובץ הנוכחי, כמובן.",,"int NumofCasetsFromIngredients(int nBiskwits, dIceCreamAmount, nShellWidth, nShellHeight)",,,,"bool IsEnoughBenefitsLeft(int nEntitledBenefits, int nUsedBenefits)",,,"התצוגה בדרך כלל רצה ב-thread נפרד, כך שפעולה שמתבצעת לא תתקע את ה-GUI. אם אני שומר את מצב הלוח במטריצה של enums, אז הייתי משתמש ב-updateBoardPresentation(matrix) כדי לעדכן את תצוגת הלוח."
32,,,,,,,,,,,,,coordinate-to-find,visited-coordinates,all-coordinates,,,,,,,,,,,,,,,,,,,,,"reallocate-file(file, add-size, free-memory)",,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,MAX_BENEFITES_PER_MONTH,AMOUNT_PER_BENEFIT,current_month_benefits_count,,,,,,,gameBoard,,,"int getNumOfSandwiches(int biscuits, int iceCreamCups, int wrappingPaperWidth, int wrappingPaperHeight)",,,,,"boolean canUseBenefit(int totalBenefits, int usedBenefits)",,,displayBoard(board)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,destination_floor,current_floor,destination_offset,door_stat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,gameTimer,numberOfMines,,,,,,,,,,,FULL_TIME_JOB_RATE,ADDITIONAL_TIME_RATE,,,,,,,,"public int getDifficulty(int gridSize, int numOfMines)",,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,__size,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"check_available_size(file, size)",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,Total_time,Map_of_bombs,,,,,,,,,Hours_for_week,Bonus_for_hour,,,,,,,,,Int get_level(int size) - ללוח ריבועי..אם לא ריבועי אז 2 פרמטרים,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,i_dest_floor,i_src_floor,i_delta_floor,b_elevator_door_state,,,,,,,,,,game_time,num_of_mines,,,,,,,,,,,,,,,,,,,,"Int level(int grid_size, int num_mines)",,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,size,,,,,,,,,,,,,,,,,,,,,,,,,MAX_BENEFITS_NUM,ILS_TO_BENEFIT_RATE,currentNumBenefits,,,,,,state,,,"IsValidSizeIncrease(File file, int increaseSize, int availableSize)",,"calcAmountOfPossibleCasatot(int biscuits, double iceCreamGlasses, int wrappingHeight, int wrappingWidth)",,,,"getBenefitBalance(int numEntitledBenefits, int numUsedBenefits)",,displayBoard(Board state),
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2 dimensional array,,,,,,"int getNumProducts(int bisc, double vanillaCups, double wrappingPaperLen, double wrappingPaperWid)",,,,,String display(),,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Board,,,,,,,,,,,display_board(board),,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CurrentBoard,,,,,,,,,,,PrintBoard(Board board),,
,,,,,,,,,,cheese_location,rooms_visited,maze,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,selectedFloor,currentFloor,floorsDelta,doorState,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,target_floor,current_floor,delta_of_floors,status_of_door,,,,,,,,cur_cheese_loc,visited_rooms,labyrinth,,,,,,,,,,,max_benefits,benefit_entitlement,accumulated_benefits,,,,,,,current_board_status,,,,"units(biscuits, ice_cream, paper)",,,,"use_benefit(accumulated_benefits, used_benefits)",,,"display_board(current_board_status, turn)"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,calcNumberSandwichesPossible,,,,,,,,
,,,,,,,,,,,,,,,,,,,Timer,,,,,,,,,,,,,,,,,,,,,Return size*num,,,,,,
,,target_floor,current_floor,num_floors_to_move,door_state,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,randCheeseLoc,allreadyVisited,maze,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,destinationFloor,currentFloor,numberOfFloors,isDoorClosed,,,,,,,,,,,,,,,,,,,,,,,,,,grid,,,,,,,,,,,)grid.draw)
,,ChoosenFloor,CurrentFloor,NumberOfFloorToGo,DoorStatus,,,,,,,,,,,,,,,,,,,,,,,,,,,,Board or matrix,,,,,,,,,,,Show board מחזירה מערך דו מימדי של char,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,game_state,,,,"how_many_caste(bisk,vainl,rap)",,,,,,,print_game(game_state)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Max_monthly_work_hours,Overtime_hourly_rate_addition,,,,,,,,,,,,,,
,,targetFloor,curFloor,floorsToMove,doorState,,,,,,,,,,,cheesePos,visitedRooms,roomsGraph,,,,,maxRewardsPerMonth,rewardPrice,curNumRewardsAvailable,,,,,,,,boardState,,,,,"nt wrapWidth, int wrapLength)int numSandwitchesPossible(int biacuits,int iceCream,i",,,,,,BoardState getBoardState(),,
file_size_,,,,,,,,,,Target,Trail_history,Maze,,,,,,,gwme_duration,MinesPerSquare,,,,,,,,,,,Additional_hours_treshold,aditional_hours_rate,,,,_increase_file_size_by,,"get_posibble_quant_of_biscuits(chock, vanila, wrap)",,"get_difficalty(size, num_of_mines)",,,,,,
file_size,,,,,,,,,,cheese_location,rooms_history,maze_descriptor,,,,,,,,,,,,,,,,,MAX_HOURS_WITHOUT_OVERTIME,OVERTIME_RATE,,,,,board_state,"checkForSpace(file, size_to_increase, available_space)",,,"num_of_icecream(num_of_biscuits, cups_of_icecream, wrapping_length, wrapping_width)",,,,,,,display_board(current_state)
,,,,,,,,,,,,,cheeseCoordinates,visitedRooms,labyrinthGraph,,,,t,gameMat,,,maxMonthlyTreats,treatCost,numOfTreats,,,,,,,,,matState,,,,,"CalcQuantity(biscuits,iceCreamCups,paperLen,paperWidth)","squareArea, numOfmines)ComplexityLevel)",,IsEntitled,,,PrintMatState(matState),
fileSize,,,,,,,,,,cheeseLocation,visited,maze,,,,,,,gameTime,grid,,,,,,,,,,,,,board,,,"bool checkIfAvailableSpace(File file, int increaseSize, int currentlyAvailable)",,,"int howManyCasets(double numOfBiscuits, double numOfVanilleCups, double numOfPapers)","int difficultyLevel(int gridHeight, int gridWidth, int numOfMines)",,,,"void showGameBoard(Board board, int playerId)",,
,,,,,,desirableFloor,currentFloor,numOfFloorToMove,currentDoorsState,,,,,,,,,,timeLeft,mineValueAssigner,,,,,,private static int MAX_BENEFITS_PER_MONTH = 4;,private static int MONEY_FOR_BEFIT = 2000;,private int currentMonthBenefitsNum;,,,,,,,,,,,"calcNumOfCasatas(numOfBiscuit, icecreamCups, paper);","public static int calcLevel(int gridSize, int numOfMines);",,,"private static boolean isCanUserUseBenefit(int thisMonthBenefits, int usedBenefits);",,,
,,,,,,,,,,cheeseLocation,locationsVisited,maze,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Currentlevel,Inputlevel,Diff,Doorstate,,,,,,,,,,,,,,Elapsed_time,Grid,,,,,,,,,,,,,,Board,,,,,,"Int difficulty(grid_w, grid_w, num_mines)",,,,,Print_board,
fileSize,,,,,,destinationFloor,currentFloor,floorsDifference,isElevatorOpen,,,,,,,,,,,,current_game_time,board_values,,,,,,,,,,,,,,"checkSizeAvailable(file, sizeToAdd)",,"calculate_max_sandwitches_for_ingredients(num_biscuits, vanilla_ice_cream_cups, num_wrapping)papers)",,,"get_game_difficulty(board_size, num_mines)",,,,,
file_size,,destination_floor,cur_floor,how_many_to_move,door_state,,,,,,,,,,,,,,game_timer,cell_data,,,,,,,,,,,,,,game_state,,"resize_file(file,resize_to,open_space_in_disc)",,how_many_can_make(),,"difficult_level(grid_size,num_of_mines)",,,,,display_noard(board),
,,,,,,pressed_floor,current_floor,floor_delta,door_state,,,,,,,,,,,,game_time,cell_data,,,,,,,,,,,,,,,,,"calculate_ics(biscuits, ice cream, paper)",,"get_board_difficulty(width, height, mines)",,,,,
,,,,,,dest,curr,num_of_flights,door_state,,,,cheese_loc,visited,labyrinth,,,,,,,,,,,,,,FULL_TIME_HOURS,hourly_wage,,,,game_board,,,,,"castas_num(bisquits_num, icecream_amount, paper_size)",,,,,,display(game_board),
file_size,,Button_floor,elevator_floor,dist,door_is_closed,,,,,,,,,,,cheese_loc,visited,Maze,,,dur,cell_val,,,,,,,,,,,,,,"is_expandable(file, expansion_size, space)",,,"cassette_cap(biscuits,ice_cream,wraps)",,"difficulty (dim, num_mines)",,,,,
,fileSize,,,,,,,,,,,,,,,,,,,,,,maxPinukimPerMonth,minCashToPinuk,aquiredPinukim,,,,,,FULL_JOB_HOURS,extraPaymentPerAdditionalHour,,,,,"boolean tryToIncreaseFile(File file, double additionalSize, double emptySpaceOnDisc)","int maxNumSandwitches(int biscuits,int cupsVanila,int numpapers)",,,,"boolean canUsePinuk(int pinukimMayUse, int pinukUsedAlready)",,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,MAX_BENEFITS,ONE_BENEFIT,numBenefits,weeklyHours,OVERTIME_PAY,,,,,state,,,,,,,,"calcBenefits(entitled, used)",,,printState
,,requestedFloor,currentFloor,floorsToMove,doorStatus,,,,,CurrentCheeseLocation,MouseVisitedLocations,Universe,,,,,,,clock,theBoard,,,monthly_treats_limit,expenses_treats_ratio,monthly_treats_limit,,,,,,full_position_threshold,extraHourRate,,,,,,,,"int CalcDifficultyLevel(int gridSize, int numOfMines)",,"bool HasPositiveBalance(int entitledTreats, int usedTreats)",,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fileSize,,,,,,,,,,,,,,,,,,,gameTime,CellsValue,,,,,,,,,,,,,currentBoardState,,,"checkSpaceForFile(file, int)",,,"castesNum(int chocBiskN, int vanIcecreamN, tuple rappingPageSize)",gameDifficulty,,,,printBoard(boardState),,
,,,,,,,,,,,,,CurrentCheeseLocation,LocationsVisited,labyrinth,,,,,,SecondsPlayed,CellValues,,,,,,,,,,,,,,,,,,,"Def gameLevel(boardSize: Int, numOfBombs: Int): Int",,,,,
,,,,,,,,,,,,,,,,currentCheeseLocation,cheeseLocations,maze,,,gameLength,mineBoard,,,,maxBenefits,benefitRate,monthlyBenefits,,,hoursPerWeek,bonusRate,,,,,,,,,"getDifficulty(width, height, numOfMines",,isPositiveBalance,,,
,,,,,,,,,,cheese_location,visited,maze_info,,,,,,,,,,,,,,MAX_BENEFIT_NUM,BILL,NUM_OF_ENTITLED,,,FULL_JOB_HOURS,EXTRA_TIME_RATE_PER_HOUR,,,,,,,calculate_amount_of_casatot(amount_of_Ingredients),,,,IS_BALANCED,,,
,,floor_pressed,current_floor,floors_to_travel,door_status,,,,,current_cheese,visited,maze,,,,,,,,,t,coordinates_info,,,,MAX_BENEFITS,BENEFIT_VALUE,entitled_benefits,,,WORKING_HOURS_FULL,EXTRA_HOURS_BONUS,,,,,,,,,"def difficulty(x, y, n_mines)",,"is_benefits_available(entitled_benefits, benefits_used)",,,
,file_size,,,,,,,,,,,,,,,,,,,,game_time,board,,,,,,,,,,,,,,,"isEnoughSpace(file, increment, free_space)",,,,"getLevel(dimensions, num_of_mines)",,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Public int calculation(int ingredientAmount obString ingredientTypes),,,,,,,,
,,,,,,dest_floor,current_floor,floors_to_dest,is_open,,,,,,,,,,timer,two dimensinal array,,,,,,,,,min_hours,overtime_salary,,,,,,,,,"int numOfIcecreams(int biscuits,int iceream,int wrap){","int difficulty(int n, int num_mines)",,,,,,
,,,,,,requiredFloor,currFloor,floorNum,currState,cheeseLocation,visited,array,,,,,,,,,,,,,,,,,,,FULLTIME,OVERTIME,,currGame,,,,,"amountOfCookies(biscuits, iceCream, wrapper)",,,,,,", Player player2) display_board(Board board, Player player1",
,,,,,,,,,,curCheeseLoc,visitiedLocs,Maze,,,,,,,GAME_TIME,adjecentMines,,,,,,,,,OVERTIME_THRESH,overtimeRate,,,,curBoardState,,,,,,"getDifficulty(int grideSize, int mineN)",,,,,dispBoard(curBoardState),
,,,,,,,,,,,,,where_is_my_cheese,Columbus_was_here,labyrinth,,,,,,play_time,mines_in_square,MAX_PAMPERS_PER_MONTH,MONEY_TO_PAMPER_RATIO,personal_pampers,,,,,,,,,,,,,,"int num_of_kasets(int biscuits, double vanile, int paper_width, int paper_length)",,"int how_hard(int num_of_mines, int rows, int cols)","use_pampers(int usable_pampers, int needed_pampers)",,,,
size,,,,,,,,,,,,,,,,,,,gameDuration,minesMap,,,MaxPrizes,moneyForPrize,clientPrizesNum,,,,,,,,,curGameBoard,,isIncreasingAvailable(),,,,"findDifficulty (gridSize, minesNum)",,"prizeUsingAbility (clientPrizeNum,clientPrizeUsed)",,,drawBoard (curGameBoard),
fileSize,,,,,,,,,,,,,Curr_cheese_loc,Visited,Lab_desc,,,,Gametime,Mines,,,,,,,,,,,Fulltimehours,Additionatimepayment,,,,Is_expandible,,,,"Level(gridsize,mines)",,,,,,
fileSize,,,,,,,,,,curCheeseLocation,visitedLocations,mazeDescriptor,,,,,,,,,gameTimestamp,gameTable,,,,,,,,,WORK_HOURS_FULL_WEEK,extraPayRate,,gameBoard,,"checkAvailableSpace(file, sizeIncrease, availableDiskSpace)",,,"castasAvailable(choclateBiscuts, vanilla, paper)",,"int getDifficulty (int width, int height, int numOfMines)",,,,displayBoard(gameBoard),
,fileLength,,,,,,,,,,,,,,,,,,,,remainingTime,CELL,,,,MAX_ALLOWED_BENEFITS,BENEFIT_COST,currentBenefits,FULL_TIME_JOB,OVERTIME_HOURLY_WAGE,,,,,,,"checkAvailableSpace (File file, long add) returns boolean",,,,"difficultyLevel(int boardSize, int numMines) return enum",,"canUseBenefit(int numEntitlesBenefits, int usedBenefits) return true",,,
,.size,,,,,,,,,,,,,,,daily_cheese_ind,rooms_visited,Maze,g_t,slot_mine_val,,,MAX_BEN,thresh,cur_ben,,,,,,,,Board,,,,check_expansion_legality,,,complexity_level(),,is_alligable,,print_to_screen(board),,
File_size,,,,,,Press_buttom_level1,Press_button_level2,Different_between,Elevator_state,,,,Cheese_room_index,Visited_rooms,Maze_board,,,,TimeOfGame,BoardGame[,,,,,,,,,,,FullJobConstant,ExtraHours,,Current_game_board,,"There_are_enough_space(File file, size_t size ,size_t avilbie _siz)",,,,"DifficultyOfBoard(int rows, int cols,int sizeMines)",,,,,"Display_game_Board(Board game_Board, UserOutput useroutput",
fileSize,,,,,,,,,,,,,,,,,,,,,time,board,,,,max_benefits,MINMUM_ILS,BenefitsPerMonth,,,,,Board,,,"isThereEnoghSpace(file,resize,availableSpace)",,,"casataNumber(biscuits, iceCream, paperSize)",,"gameDifficulty(boardSize, minesNum)",,UseBenefit(benefitsEntitlrd(,toString(Board),,
Size,,Cur_floor,dest_floor,amount_floors,door,,,,,,,,,,,,,,,,,,,,,MAX_BENEFITS,MIN_SHEKELS,cur_benefits,MIN_HOUR,OVER_WAGE,,,,,,Enough _space,,Num_able,,,,,have_remain,,,
,,TargetFloor,CurFloor,FloorDelta,IsOpen,,,,,,,,,,,,,,,,,,,,,Max_benefits,ILSToBenefits,Customer_benefits,Bonus_addition,OverTimeRate,,,,CurBoardStat,,,,,HowManyBisx,,,,AllowToUseBenefits,,PrintBoard(board),
,Size,,,,,,,,,roomWithCheese,visitedRooms,maze,,,,,,,,,GetElapsedTime,Minefield,MaxPinuks,MoneyPerPinuk,AvailablePinuks,,,,,,,,,,,,EnlargeFile(file),,,,"CalculateGameDifficulty(n,m,numMines)",CanUnlockPinuk,,,,
,,,,,,,,,,,,,,,,cur_cheese_pos,already_been_there,maze,,,,,,,,benefits_per_month,min_billing_amount,benefits_number,,,,,,,,,,,,,,,num_of_benefits_is_bigger_than,,,
,,dest_floor,current_floor,gap,isDoorOpen,,,,,,,,,,,cheese_cur_pos,mouse_pos_history,maze,,,,,,,,max_benefits,exchange_rate,current_month_benefits,,,full_time_hours,extra_time_rate,,,,,,"howMany(recipe, biscuits, ice_cream, wrap_paper(",,,,,"boolean isBalancePositive(int current_month_benefits, int used_benefits (",,,
,file_size,requested_level,current_level,levels_to_travel,is_door_opened,,,,,,,,,,,cheese_location,cheese_location_history,maze_coards,game_clock,game_board,,,,,,,,,,,,,,,,,can_allocate_extra_disk(int size_to_inc),"predict_yield(biscuits, icecream_cups, wrappers)",,"determine_diff(grid_size, mines_amount)",,,,,,
fileSize,,,,,,,,,,,,,,,,dayleyCheeseLocation,placesSearched,labirint,,,time,gameBoard,,,,,,,,,,,,,,checkForSpace,,,,,gameLevel,,,,,
file_size,,,,,,pressed_floor,curr_floor,dest_floor,door_state,,,,,,,,,,,,,,,,,,,,,,max_hours_per_week,overtime_bonus_per_hour,,,,check_file_allocation(file),,,"casata_amount_per_stock(num_choco, num_vanille, num_paper)",,,,,,,
,,up_threshold,down_tresh,gap_thres,door,,,,,,,,,,,,,,,,,,,,,user_gifts,max_income,month_gifts,,,,,,,game_table,,,,,,,,balnce_calcul,,,show_table
,,next,cur,steps,door_state,,,,,,,,cheese_loc,bad_list,maze,,,,,,,,max_pinuk,pinuk_money,cur_pinuk,,,,,,,,,cur_board,,,,,num_of_casetas,,,pinuk_available,,,print_board,
,size,,,,,,,,,,,,,,,cizz_loc,loc_history,lab,time,mine_status,,,,,,,,,,,,,,,cur,,space_check,,,difficulty_analize,,,,,,"show_board(x_locations, y_locations)"
