StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q4,Q5_1,Q5_2,Q17,Q27,Q18_5,Q29,Q33,Q156,Q35,Q40,Q41,Q42,Q52,Q49,Q50,Q51,Q53,Q82,Q83,Q160,Q94a,Q95a,Q159,Q94b,Q95b,Q96b,Q100,Q101,Q102,Q106,Q107,Q108,Q112,Q113,Q114,Q115,Q118,Q119,Q157,Q158,Q122,Q126,Q129,Q135,Q147,Q146,Q145,Q148,Q11,Q153,Q152,Q118 - Topics,Q31_2 - Topics
2018-05-21 18:32:45,2018-05-21 18:50:24,IP Address,,100,1059,True,2018-05-21 18:50:25,R_1rMJDdplU0Lb2vF,,,,,,,anonymous,HE,זכר,25,2,כן,תואר ראשון,2,,,,,מחליט כמה לשלם לעובד מסוים לפי הrate שלו ומספר השעות שהוא עבד,מציין את מספר השעות שהעובד עבד,דירוג שכר של עובד,return hours*rate,,,,,mark the given coordinate ,tell us the x axis to mark,tell us the y axis to mark,,,,,,,sort all the files by their name ,the list of files that need to arranged,sorted list of the files,,,,,,,,,,,,,,,,string,playerA or playerB,too know each player action,אבן נייר או מספריים שאפשר לייצג למשל באמצעות מספרים)int(,"[5,7,9]",,,,
2018-05-21 18:30:18,2018-05-21 19:28:05,IP Address,,100,3467,True,2018-05-21 19:28:05,R_1DqiNEiuPvioKFM,,,,,,,anonymous,HE,זכר,28,4,כן,תואר שני,2,,,,,,,,,"מחשב כמה תשלום מגיע לעובד המקבל שכר בגובה rate עבור ""hours"" שעות עבודה",מספר השעות עליהם משלמים,ה pay איננו פרמטר- האם התכוונתם ל rate? אם כן אז זה תשלום לשעת עבודה של העובד,return hours * rate,הפונקציה מסמנת X או O (בהתאם לסוג השחקן הנוכחי) בעמודה col בשורה row,מספר השורה בה יסומן X או O,מספר העמודה בה יסומן X או O,,,,,,,,,,סידור הקבצים במבנה הנתונים לפי סדר מילוני,מצביע/רפרנס למבנה נתונים המכיל את הקבצים,ערך מספרי כלשהו הנותן אינדיקציה להצלחה/ סוג השגיאה,,,,,,,,,,,אומר למעלית לרדת או לעלות מספר קומות בכדי להגיע מהקומה var2 לקומה var1,while(current &lt; maxFloor): go_up(1) open_door() close_door(),intager,1 או 2,הבחירה של כל אחד מהשחקנים- אבן נייר או מספריים,טיפוס int ערכים אפשריים 1\2\3,,,,,
2018-05-21 19:17:45,2018-05-21 19:33:08,IP Address,,100,922,True,2018-05-21 19:33:09,R_3dLIdQs69084yav,,,,,,,anonymous,HE,זכר,18,2,כן,תואר ראשון,2,,,Yes,"Play out what is supposed to happen if the square located at row,col is clicked on (exposed)",,,,,,,,,,,,"Attempts to put an X or an O, depending on which player's turn it currently is, at position row,col",denotes the number of the row we wish to refer to out of the board's three rows,denotes the number of the column we wish to refer to out of the board's three columns,,,,"It most likely displays, or sorts, the files according to lexicographic order of their names","some kind of data-structure, most likely a list\array like data-structure, that contains the files we wish to arrange","probably the same data-structure, with the files inside of it now arranged according to lexicographic order of their names",,,,,,,,,,,,,,,,,,,,"[5,7,9]",,,,
2018-05-21 15:43:11,2018-05-21 19:44:39,IP Address,,100,14488,True,2018-05-21 19:44:40,R_3nN8Dp4HtK9fWvV,,,,,,,anonymous,HE,נקבה,31,5,כן,,,כן,חושף בפני השחקן מה נמצא במשבצת מסויימת,,,מחשב שכר בסיס לפי מספר שעות העבודה והתעריף לשעה,מס שעות העבודה של עובד מסויים,תעריף עבודה לשעה,return hours*rate,,,,,,,,,,,לבצע מהלך - השמה של איקס/עיגול בתא מסויים על הלוח,אינדקס שורה,אינדקס טור,"ממיינת ומחזירה מערך ממויין של קבצים לפי האל""ף בי""ת בסדר עולה",מערך המכיל אובייקטי קבצים,"מערך ממויין של קבצים לפי האל""ף בי""ת בסדר עולה",,,,,,,,מחשב נטו רווח,מספר היחידות שיש להנפיק,עלות יחידה,מחיר צרכן ליחידה,,,קובע כמה קומות צריך לרדת/לעלות,"for (currFloor=0; currFloor&lt;topFloor; currFloor++) { isDoorOpen = goToFloor(currFloor, currFloor+1) assertTrue(isDoorOpen) }",int,"0,1,-1",הפרמטרים מייצגים את המהלך של כל אחד מהשחקנים,"Enum: Rock, Paper, Scissors","[5,7,9]",מגדילה/מכווצת את הגודל של התמונה פי הפקטור,width = width*factor,Unknown,
2018-05-21 19:30:02,2018-05-21 19:45:20,IP Address,,100,918,True,2018-05-21 19:45:21,R_2V2VRC8EbpflzXC,,,,,,,anonymous,HE,זכר,30,4,שנות ניסיון בתכנות (כולל צבא אם רלוונטי),,,,,,,מחשב כמה צריך לשלם לעובד,מספר השעות,השכר לשעה,החזר שעות כפול שככ,,,,,,,,,,,לשים איקס או עיגול במקום המסומן (בהנחה שהוא ולידי),לציין את מספר השורה,לציין את מספר הטור/עמודה,,,,,,,,,,,"Calculates the net max profit that can be generated from selling the given number of units, given their cost & price provided",To hold the number of sandwiches sold,To hold the production Costco of a single unit,To hold the price of a single unit,,,מחשב האם המעלית צריכה לרדת או לעלות ובכמה קומות,עבור קומה מ-0 עד הקומה העליונה ביותר: התקדם לקומה הנוכחית פתח דלת סגור דלת,בוליאני,"0,1",להחזיק את הערך של הצורה ביד של כל אחד מהצדדים,"הטיפוס יכול להיות אינם, סטרינג, אינט. הערכים הם: אבן, נייר ומספריים","6, 15",,,Unknown,
2018-05-21 18:55:25,2018-05-21 19:55:27,IP Address,,100,3601,True,2018-05-21 19:55:28,R_22RLlHjCL87aALP,,,,,,,anonymous,HE,נקבה,30,4,שנות ניסיון בתכנות (כולל צבא אם רלוונטי),,,,,Yes,Returns the value of the square located in row-col.,Pay returns hours*rate,מספר שעות,ערך שכר שעתי,"Pay(hours, rate){ Return hour*rate;}",,,,,,,,,,,,,,Returns a alphabetically ordered version of files,"A dataset of type &lt;File&gt; the parameter is a set of files, meant to be the reference to Which files to arrange alphabetically",A set of files alphabetically orderedh,,,,,,,,,,,,,,שולח את המעלית לקומה מס'var1 מקומה מס' var2,OpenDoorAtEveyStory(){ If(_isDoorOpen) }close_door();{ ;currentsStory=_currentStory While (currentsStory==_currentStory) { go_up(1); currentsStory++; open_door(); close_door(); } },,,,,,Changes the size attributes of a picture by the factor,This.width*=factor;,,
2018-05-21 20:02:04,2018-05-21 20:28:19,IP Address,,100,1574,True,2018-05-21 20:28:20,R_1BRTx1sbZ2mmhiJ,,,,,,,anonymous,HE,זכר,32,10,כן,תואר שני,4,,,Yes,"Expose the number in the specified cell, not including logic such as win/lose",,,,,Multiplies the two and returns,The number of hours for which to pay,There is no pay parameter,Return hours*rate,,,,,,,,,,Sorts in-place,"Files to sort, type array",void,,,,,,,,,,,,,,,,,,,,,"Scales ""this"" image by factor",width*=factor,,
2018-05-21 20:17:58,2018-05-21 20:37:15,IP Address,,100,1156,True,2018-05-21 20:37:15,R_2Cv0Gzf8y0RPGo3,,,,,,,anonymous,HE,זכר,27,3,שנות ניסיון בתכנות (כולל צבא אם רלוונטי),,,,,,,,,,,calculate the worker the wage,to hold the amount of hours the worker had worked,its the name of the function,"int pay(int hours,int rate) return hours * rate",,,,,,,,,,,,,,,,,,,,,,,,check where the user wants to go and where he is and move to that place,"directon = ""up""  for (i = 0 ; i &lt; max_level ; i++): go_up(1) door_toggle()",,,boolean,"true,false",to pass the state of the players,"rock,paper,sizers","[5,7,9]",resize the size of the image by the factor,width = width * factor,,
2018-05-21 20:50:02,2018-05-21 21:02:58,IP Address,,100,775,True,2018-05-21 21:02:58,R_DRVqLrfXZjpNZgB,,,,,,,anonymous,HE,זכר,30,8,כן,תואר ראשון,1,כן,חושף מה נמצא במשבצת בשורה ה-row ובעמודה ה-col,,,מחזיר כמה צריך לשלם לפי מספר השעות שהעובד דיווח והשכר השעתי שלו.,מספר השעות שהעובד דיווח,השכר השעתי שלו,return hours * rates,,,,,,,,,,,,,,,,,,,,"מחזיר רווח צפוי כתלות במספר היחידות שנמכרו, עלות של כל יחידה, והמחיר שבו הן נמכרות.",כמה יחידות נמכרו,עלות יצירה של כל יחידת מוצר,המחיר שבו כל יחידה נמכרת,,,,,,,,,,,,,,מגדילה את התמונה פי factor,this.width = this.width * factor,,
2018-05-21 20:49:27,2018-05-21 21:06:46,IP Address,,100,1039,True,2018-05-21 21:06:47,R_eUTtCdfRC6V3YYN,,,,,,,anonymous,HE,זכר,32,8,שנות ניסיון בתכנות (כולל צבא אם רלוונטי),,,,,Yes,,,,,,,,,,,,,,,,,,,,,,היא לא צריכה להיות שם. זה באג,מערך,Void,,,,,,,,,,,בודק כמה קוצות צריך לזוז ,For i=0 to n Go_up(1) OpenDoor() CloseDoor(),Enum ,"P1, P2, tie",לאפשר גישה למצב יד כל שחקן,"אוביקט שחקן עם מצב היד או רק מצב היד )enum אבן, נייר, מספרים( ",,מגדילה או מקטינה בכפל סקלארי את גודל התמונה,Width = width*factor;,,
2018-05-21 20:57:18,2018-05-21 21:11:53,IP Address,,100,874,True,2018-05-21 21:11:54,R_8GkgPEdjnJdYc2B,,,,,,,anonymous,HE,זכר,23,6,כן,תואר ראשון,4,כן,חושפת את המשבצת שנבחרה על פי מספר שורה ועמודה של אותה משבצת.,,,,,,,,,,,,,,,,,,,,,,,תמיין את הקבצים לפי שמם,מבנה נתונים כלשהו שמחזיק קבצים,מבנה נתונים כלשהו שמחזיק את אותם קבצים ממויינים לפי שמם,,,,,,,,,,,,,בוליאני,"בוליאני, מספר המייצג את השחקן המנצח, אובייקט מסוג שחקן עם הנתונים של השחקן המנצח","ייצוג הבחירה של כל שחקן(אבן, נייר, מספרים)",מספר כלשהו המייצג בחירה enum שהוגדר ומכיל בתוכו את אופציות הבחירה,"]5,6,7]",מעדכן factor של תמונה.,Resize(width),,
2018-05-21 21:06:06,2018-05-21 21:31:32,IP Address,,100,1526,True,2018-05-21 21:31:32,R_1JRdPImmZMGuJGc,,,,,,,anonymous,HE,נקבה,27,1,שנות ניסיון בתכנות (כולל צבא אם רלוונטי),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,מחשב לאן צריכה המעלית לעלות או לרדת. המבצע את הפעולה, For floor one to end Open(),Type of player,PlayerA or playerB,Input,Object of Player,"[5,7,9]",משנה את גודל התמונה לפי הפקטור שניתן לה,Image.width,,
2018-05-21 22:07:34,2018-05-21 22:30:33,IP Address,,100,1379,True,2018-05-21 22:30:34,R_1EYBOt4DOmjEcrY,,,,,,,anonymous,HE,זכר,25,5,כן,תואר שני,2,,,Yes,פונקציה שבהינתן לחיצה על משבצת במקום נתון מחזירה את המפה המעודכנת לאחר הלחיצה - חושפת את המשבצות הצמודות (אם אין בה מוקש) או מחזירה מפה עם כל המוקשים (אם יש בה מוקש),,,,,,,,,,,,,,,,,,הפונקציה ממיינת את הקבצים לפי שדה השם באופן לקסיקוגרפי ומחזירה רשימת קבצים ממוינים בצורה זו.,"הפרמטר מציין את רשימת הקבצים הנתונים, והוא כנראה מטיפוס מערך של אובייקטי file","מערך של אובייקטי file, ממוין כנדרש",,,,"מחשב את סך הרווח שיתקבל בהינתן הכמויות הקיימות, עלות החומרים והמחיר הנקוב.","כמויות של החומרים הנתונים (ככה""נ מערך)","מחיר העלות של כל חומר (גם ככה""נ מערך בהתאם)",המחיר אותו נדרוש עבור קניית קסטה אחת,,,,,,,,,int,"1=A, 2=B, 0=Tie",לתת מידע על מה שכל שחקן בחר (אבן/נייר/מספריים) כדי שניתן יהיה להשוות ולקבל תוצאת מנצח.,"טיפוס player, והערכים שלו הם שחקנים שמתוארים על ידי פרמטרים שונים (אם בכלל) ועל ידי פרמטר הבחירה של השחקן (אבן/נייר/מספריים)",,משנה את גודלה של התמונה על פי הפקטור הנתון (גם באורך וגם ברוחב),this.width *= factor;,,
2018-05-21 22:00:54,2018-05-21 22:32:57,IP Address,,100,1922,True,2018-05-21 22:32:57,R_2ctGdiy9CmMfe4d,,,,,,,anonymous,HE,זכר,29,7,שנות ניסיון בתכנות (כולל צבא אם רלוונטי),,,,,,,,,,,"in case its used on worker object, adds hours mul. rate to his money balance",how many hours the worker worked,what is the worker's hourly salary,this.money += hours*rate; this.company.money -= hours*rate;,,,,,,,,,,,,,"sort files according to their names, a to z",list of files to sort. the type is an array of files or list of files,",list of ordered files, or nothing if the object can be sorted without returning anything (received a pointer to an object(",,,,,,,,,,,,,int,"1-, 0, 1","if 1 then player A wins, if -1 then player B wins, 0 is no winner","no sure what the question is. Generally, one can return object with game state, enum, playerA object, playerB object, and many other options. Depending on the chosen language. I've assumed that I use c for that task (since in JAVA I would do something absolutely different)",,resizes the image size [width*height] by a given factor (makes it bigger/smaller),this.width = this.width * sqrt(factor),,
2018-05-21 20:27:32,2018-05-21 22:39:10,IP Address,,100,7897,True,2018-05-21 22:39:10,R_01TKlpcfHj87Pmp,,,,,,,anonymous,HE,זכר,31,13,שנות ניסיון בתכנות (כולל צבא אם רלוונטי),,,,,Yes,Shows the contents of the game cell designated by the given row and col on the game board.,,,,,pays the employee the salary s/he deserves.,holds how many hours the worker has been working since s/he was last payed.,the name of the method / function,"bank.transfer(company.bankAccount, employee.bankAccount, hours * rate)",,,,,,,,,,,,,מיון הקבצים לפי שמותיהם,"מערך/איטרטור של מצביעים למחלקה ""קובץ""",מערך/איטרטור דומה אך ממוין,,,,, Computes the net income from selling x units that cost y each to manufacture for the price of y each.,How many sandwiches were produced,The production cost that went into making one unit,The price one unit was sold by,,,,,,,,,"שרשור שתי הרשימות, כלומר [1, 2, 3, 4, 5, 6].",,,Unknown,
2018-05-21 22:27:25,2018-05-21 22:43:03,IP Address,,100,938,True,2018-05-21 22:43:06,R_3nD9l0Jm2JnCldx,,,,,,,anonymous,HE,זכר,28,11,כן,תואר שני,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MatchResult,אובייקט MatchResult שמחזיק מי ניצח או אם תיקו,לציין מזהי שחקן והאם הוא בחר אבן נייר או מספריים,אובייקט player שמחזיק מזהה שחקן ובחירת מהלך,"1,2,3,4,5,6",,,,
2018-05-21 22:14:35,2018-05-21 22:50:00,IP Address,,100,2125,True,2018-05-21 22:50:01,R_3iVGlruQDVKCwsi,,,,,,,anonymous,HE,זכר,32,10,שנות ניסיון בתכנות (כולל צבא אם רלוונטי),,,,,,,Multiply rate by hours to calculate the employee salary,Counter of employee work hours,Holds an employee hourly wage,return hours*rate;,,,,,,,,,,,To place this player symbol in :row and :col,Row index in the 3x3 matrix,Column index in the 3x3 matrix,,,,,,,,,,,,,,,,,,,Player,"playerA, playerB",Reference Player object,".Player class/object Name, Id, symbol, winCount, gamePlayed",,Resizes the image on which it operates by :factor,this.width *= factor,,
2018-05-21 23:06:46,2018-05-21 23:18:27,IP Address,,100,700,True,2018-05-21 23:18:27,R_OdNyzz0iMhIQbpD,,,,,,,anonymous,HE,זכר,26,,כן,תואר ראשון,2,,,,,,,,,,,,,,,,,,,מסמנת X או O לפי משתנה גלובלי בשורה ובעמודה המתאימים,מספר שורה,מספר עמודה,,,,"מקבלת מערך של קבצים, ומחזירה מערך של הקבצים ממוינים לפי שם",מערך של קבצים (מערך של פוינטרים לאובייקט מסוג קובץ),כמו הטיפוס שהיא קיבלה,,,,,מחשבת מה הרווח הצפוי לאור כמה יחידות מכרת במחירprice אשר כל יחידה עלתה cost,כמות היחידות שנמכרו,עלות הייצור של יחידה,מחיר יחידה,,,,,,,,,"[5,7,9]",,,Unknown,
2018-05-21 22:58:24,2018-05-21 23:19:13,IP Address,,100,1249,True,2018-05-21 23:19:14,R_3dRI6wVxQqc3x4d,,,,,,,anonymous,HE,נקבה,30,7,שנות ניסיון בתכנות (כולל צבא אם רלוונטי),,,כן,חושף את התוכן של המשבצת בשורה ROW בעמודה COL,,,,,,,,,,,adds X or O to the place having row {row} and column {col} ,מציין  את השורה בטבלה,מציין את העמודה,,,,,,,,,,,,,,,,,,,,,,,עולה/יורד var3 קומות,for floor_idx 0 to N opne_floot(floor_idx),,,,,,,,,
2018-05-21 22:59:22,2018-05-21 23:24:28,IP Address,,100,1506,True,2018-05-21 23:24:29,R_2uPae5dPdnlrekp,,,,,,,anonymous,HE,נקבה,27,2,שנות ניסיון בתכנות (כולל צבא אם רלוונטי),,,,,,,מחשב סך הכל תשלום על מספר השעות המצויין,לציין כמה שעות רוצים לחשב,לציין מה השכר השעתי,return hours*rate,,,,,making a turn by marking a specific square,to reference the row  in which we would like to mark,to reference the column  in which we would like to mark,,,,,,,,,,"סידור הקבצים לפי הא""ב",מבנה נתונים כלשהו המכיל את הקבצים,"את המבנה נתונים מסודר בסדר א""ב (או העתק שלו)",,,,,"calculate the profit from selling ""units"" number of cookies",referencing the number of cookies,referencing the making cost of each coockie,referencing the price to the customer of each cookie,,,,,,,,,"[5, 7, 9]",,,Unknown,
2018-05-21 23:11:05,2018-05-21 23:45:26,IP Address,,100,2060,True,2018-05-21 23:45:27,R_1F2tvGsJcpNGKkA,,,,,,,anonymous,HE,נקבה,26,7,שנות ניסיון בתכנות (כולל צבא אם רלוונטי),,,כן,חושף את התא בשורה row בעמודה col.,,,פונקציה של מחלקה ״עובד״ שמאפשרת לשלם לעובד כמספר ה hours את ה- rate שלו,להגיד מה מספר השעות שהעובד עבד,להגיד מה השכר השעתי של אותו עובד,"class Employee: __init__(self): _balance = 0  def pay(hours, rate): balance += hours * rate ",,,,,,,,,,,,,,Sorts the given array of class files according to the  lexicographical order of their underlying files' names.,The role is to let the function know which files to organize. It's type is a list of file class.,A sorted list according to the files' names,,,,,,,,,,,,,,,,enum,"playerBWin, playerAWin, draw",להגיד מה הבחירות של שחקן א׳ ושחקן ב׳,"rock, paper, scissors","[5,7,9]",,,,
2018-05-21 23:38:16,2018-05-21 23:54:32,IP Address,,100,976,True,2018-05-21 23:54:33,R_R3LQ9aAoFM9AOkh,,,,,,,anonymous,HE,נקבה,27,2,שנות ניסיון בתכנות (כולל צבא אם רלוונטי),,,,,,,,,,,Calculates the amount of money thebworker earned,Duplication for a monthly /weekly/ daiky,Duplication the hours in the salary per gour,Return hours*rate,Put a x in the pont rrpresented by row col,The row of the x,The column of the x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5,7,9",Increasing the picture in factor precebt,Width ×=factor,,
2018-05-21 23:15:25,2018-05-22 00:04:09,IP Address,,100,2924,True,2018-05-22 00:04:10,R_3fIWEfj06nrgqim,,,,,,,anonymous,HE,זכר,31,13,כן,תואר שני,3,כן,פותח משבצת בלוח,,,מחזיר את השכר עבור כמות עבודה ,לייצג את מספר שעות העבודה ,שכר שעתי ,Return hours*rate;,,,,,,,,,,,,,,Sort the files alphabetically by their name in acsending order ,The parameter is a collection (list) of strings,Void. In place ordering ,,,,מחשב את הרווח ממכירה של כמות יחידות units במחיר price שעלות הכנת יחידה הוא cost ,כמות יחידות ,עלות ההכנה,מחיר המכירה ,,,,,,,בודק לאיזה כיוון על המעלית לנוע,While not last floor - 1    Go level up    Open door    Delay    Close door,,,,,,,,,
2018-05-21 23:54:18,2018-05-22 00:06:20,IP Address,,100,722,True,2018-05-22 00:06:21,R_2zGzkJkowAIXyMH,,,,,,,anonymous,HE,זכר,34,11,שנות ניסיון בתכנות (כולל צבא אם רלוונטי),,,כן,"חושף את המשבצת במקום row,col",,,,,,,,,,,,,,,,,"לשחק תור של אחד המשתתפים, כלומר לשים X או עיגול על הלוח",באיזו שורה לשים את הX או העיגול,באיזו טור לשים את הX או העיגול,,,,"מסדרת את הקבצים בצורה אלפבית, מA עד Z",הייתי משער שזה מערך שמכיל שמות קבצים בתיקייה מסויומת,מערך שמכיל שמות קבצים ממויינים באותה תיקייה,מחשב כמה כסף ירויח ממכירת קסטות,כמה קסטות מכר,כמה עלה לו להכין את הקסטות,בכמה מכר כל קסטה או את כל הקסטות,,,,,,,,,,,,,"[5,7,9]",,,,
2018-05-22 00:02:59,2018-05-22 00:12:34,IP Address,,100,575,True,2018-05-22 00:12:35,R_1gdXMHFjSZhLYQq,,,,,,,anonymous,HE,זכר,26,7,כן,תואר ראשון,2,,,Yes,,,,,,,,,,,,,,,,משבצת איקס או עיגול במקום שהוזן,השורה,הטור,,,,מסדרת קבצים על פי שדה השם שלהם,מערך של טיפוסי קבצים,מערך של טיפוסי קבצים מסודר לפי השם,,,,,,,,,,,,,int,1 2,מציינים את השחקן,טיפוסים מסוג Int  וערכים 1 עד מספר השחקנים,"[1,2,3,4,5,6]",,,,
2018-05-21 13:50:40,2018-05-22 02:40:20,IP Address,,100,46180,True,2018-05-22 02:40:21,R_2YFL1XpYg5PAq1x,,,,,,,anonymous,HE,זכר,32,10,כן,דוקטורט ומעלה,1,כן,חושף את האיבר במשבצת בשורה row ובעמודה col.,,,,,,,,,,,"Puts either o or x in the (row,col) position, according to the current player that is playing.",An index of the rows.,An index of the columns.,,,,,,,,,,,,,,,,,,,,,,,בודק את הקומה המבוקשת ביחס לקומה הנוכחית ועולה / יורד כמספר הקומות הנדרש.,// Assuming current floor is 0 open_door() close_door() for i = 1 to max_floor:     go_up(1)     open_door()     close_door() ,enum (int),"1 (playerA), -1 (playerB), 0 (tie)","מחזיקים את ההחלטות של שתי המשתמשים (אבן, נייר או מספריים).","enum (int); stone, scissors, paper.",,מגדילה או מקטינה את מספר הפיקסלים של התמונה,obj.width = floor(obj.width*factor);,,
2018-05-22 08:00:59,2018-05-22 08:10:42,IP Address,,100,582,True,2018-05-22 08:10:42,R_xygojYWtByt9pJf,,,,,,,anonymous,HE,זכר,24,7,כן,תואר שני,2,כן,"בודק האם יש מוקש במיקום הנתון, אם כן, מסיים משחק, אחרת מראה את המספר",,,,,,,,,,,,,,,,,,,,,,,,,,"מחשב רווח בהנתן מכירה של כמות מסוימת של מוצר, מכיר קנייה, ומכיר מכירה",כמות המכירות למוצר,כמה עולה כל יחידה,מחיר ללקוח,,,,,,,"מחשב כמה קומות המעלית עולה/יורדת, ומבצע","for i = 1,..., top floor goUp(1) openDoor() wait() closeDoor()",player,"A,B",איזה אופציה במשחק שיחק כל שחקן,"מהלך - אבן, נייר, מספרים","[5,7,9]",מגדילה / מקטינה את התמונה בפקטור הנתון,(width = round(width * factor,,
2018-05-22 09:28:37,2018-05-22 09:52:36,IP Address,,100,1439,True,2018-05-22 09:52:36,R_1PRB6hJnk9MERCn,,,,,,,anonymous,HE,זכר,33,19,כן,דוקטורט ומעלה,3,,,Yes,,,,,,,,,,"calculates whose turn it is according to some global variable, checks if a move is legal, and changes the state of the board (must be global or shared variable, too)",that's the y coordinate ...  it's an input to the function.. the question is unclear,"that's the x-coordinate, input to the function.. ",,,,,,,sorts files by a property storing base name of files,it's a list (array) of objects of type file. it is an input of the function... ,"list (or array) of the files, the type of returned variable is the same as the input.",,,,,,,,,,,,,,,,boolean,"true,false",is playerA a winner,"השאלה לא ברורה. נניח שהכוונה לplayerA,playerB  type: int values:0,1,2 ",,"binning or undersampling if factor&lt;1, extrapotion if factor&gt;1, nothing if factor is 1",(pic.width=int(pic.width*factor,,
2018-05-22 10:46:38,2018-05-22 11:01:04,IP Address,,100,866,True,2018-05-22 11:01:06,R_2WMBDMCY2UYUfMl,,,,,,,anonymous,HE,זכר,26,6,כן,תואר שני,2,,,,,,,,,,,,,,,,,,,,,,sorts the files lexicographically by file name,"The set of files to be dorted. It is a collection (e.g. array, list, etc...) of File",a collection of File,,,,,,,,"calculates the profit for selling ""units"" sandwiches for ""price"" each, assuming each sandwich costs Ori ""cost"" (units*(price-cost))",The number of sandwiches sold,the cost for Ori to make a sandwich,The price at which Ori sells the sandwiches,Goes from floor var2 to floor var1,While (current_floor &lt; top_floor) {     close_door();     go_up(1);     open_door(); },,,,,,,"[5,7,9]",,,Unknown,
2018-05-22 10:59:45,2018-05-22 11:21:39,IP Address,,100,1314,True,2018-05-22 11:21:40,R_29cSTS1KLvEYJ4r,,,,,,,anonymous,HE,זכר,28,9,שנות ניסיון בתכנות (כולל צבא אם רלוונטי),,,,,,,,,,,מחשב את השכר של העובד לפי מספר השעות והשכר השעתי שלו,מספר השעות שעבד בתקופה מסויימת,אין כזה,return hours * rate;,adds the player's mark in the given position,indicate the row to add the mark in,indicate the column to add the mark in,,,,,,,,,,,,,"מחשב את סך הרווח שבמחירת מספר יחידות, לפי המחיר ועלות היצור שלהם",מספר היחידות שימכרו,עלות היצור של יחידה אחת,המחיר ללקוח של יחידה אחת,,,,,,,,,ENUM,PlayerA PlayerB,לייצג את השחקנים,"אובייקט של שחקן, שני שחקנים שונים","[1,2,3,4,5,6]",,,,
2018-05-22 09:33:44,2018-05-22 12:08:36,IP Address,,100,9291,True,2018-05-22 12:08:37,R_wZW5g1YOihxo7Dz,,,,,,,anonymous,HE,נקבה,30,6,שנות ניסיון בתכנות (כולל צבא אם רלוונטי),,,,,,,,,,,Return the salary of the employee based on the rate and hours they worked,Total hours the employee worked,rate is payment per hourpay is total payment,return rate*hours ,,,,,,,,,,Sorts the given files based on their full name,List of the class above for the reauired files to handle,Sorted list,,,,,,,,,,,,calculates the difference between current floor and desired floor and sets direction accordingly,curFloor =0 open_door while curFloor &lt;maxFloors: go_up(1) open_door curFloor+=1,,,int,1/ 0 / 1- (a/b win or tie),Represent the choise of the player,Could be enums that represents rock/paper etc,,,,,
2018-05-22 13:21:10,2018-05-22 13:48:33,IP Address,,100,1643,True,2018-05-22 13:48:34,R_1fjTTuoOZrs15QA,,,,,,,anonymous,HE,זכר,25,5,שנות ניסיון בתכנות (כולל צבא אם רלוונטי),,,,,Yes,מחזירה מס המוקשים ,,,,,,,,,,,,,,,,,,,,,מיון קבצים לפי שם,מערך של אובייקט file ,מערך של קבצים ממוינים לפי שם,,,,,,,,,,,,,מספר,0 1 - 1,"ניצחון של הראשון, תיקו, ניצחון של השני"," אובייקט השחקן הזוכה, או null במצב תיקו ",21,משנה את גודל התמונה ,This. Width =width ,,
2018-05-22 13:38:58,2018-05-22 13:56:13,IP Address,,100,1035,True,2018-05-22 13:56:13,R_21hyXMCVElfRvJw,,,,,,,anonymous,HE,נקבה,24,5,שנות ניסיון בתכנות (כולל צבא אם רלוונטי),,,כן,"חושף את המספר במשבצת, וכך אם יש בה מוקש או לא.",,,,,,,,,,,מסמנת איקס או עיגול במשבצת מסוימת על הלוח.,לציין לאיזה מספר שורה אנו מתכוונים על הלוח.,לציין את מספר העמודה על הלוח.,,,,,,,,,,,,,מקבל עלות פר יחידה ומחשב עלות סופית,מספר יחידות קסטה,עלות ליחידה,מחיר כולל,,,,,,,,,,,,,,,,,
2018-05-22 21:29:40,2018-05-22 21:49:39,IP Address,,100,1198,True,2018-05-22 21:49:40,R_3NLepqly6QSZqJe,,,,,,,anonymous,HE,זכר,33,9,שנות ניסיון בתכנות (כולל צבא אם רלוונטי),,,כן,חושף משבצת שהשחקן לחץ עליה ומחזיר את הערך שלה,,,,,,,,,,,,,,,,,,,,,,,מחזירה מערך עם כל הקבצים בסדר עולה לפי שם,מערך של אובייקטים,מערך של אובייקטים,,,,,,,,,,,,,,,,,"[5,7,9]",משנה את גודל התמונה ביחס הפקטור,width=width * factor,,
