Q4,Q5_1,Q5_2,Q17,Q27,Q18_5,Q29,Q33,Q156,Q35,Q40,Q41,Q42,Q52,Q49,Q50,Q53,Q82,Q83,Q160,Q94a,Q95a,Q159,Q94b,Q95b,Q96b,Q100,Q101-role,Q101-type,Q102,Q106,Q107-role,Q107-type,Q108,Q112,Q113,Q114,Q115,Q118,Q119,Q157,Q158,Q122,Q126,Q129,Q135,Q147,Q146,Q145,Q148-types,Q148-values,Q11,Q153,Q152,Q118 - Topics,Q31_2 - Topics
Male,38,19,Yes,Master's Degree,3,,,,,,,,,Returns amount to pay given hours and rate,Number of work hours by an employee,hours*rate,Updates board with player's mark at given position,Row's index to be updated,Column's index to be updated,,,,,,,,,,,"returns an ordered list of the files, ordered by name",Files,List of files,"Unclear, maybe void",,,,,,,,,,,Operates an elevator,"i, building_floors",Enum,"PlayerA, PlayerB, Tie (enum)",Player selections (R/P/C),Enums,"Rock, Paper, Scissors (enum)",,Resizes the image by factor,width *= factor,,
Male,43,25,No,,,,,,,Returns amount to pay given hours and rate,Number of work hours by an employee,An employee hourly wage,hours*rate,,,,,,,,,,,,,,,,,"returns an ordered list of the files, ordered by name",Files to sort,List of files,Sorted list of files,Calculates profit of selling the sandwiches,Number of sold sandwiches,Cost per unit,Selling price per sandwich,,,,,Operates an elevator,"i, n",,,Integer,"0, 1",Player selections (R/P/C),Enums,"Rock, Paper, Scissors (enum)",,,,,
Female,26,1,No,,,,,,,,,,,Returns amount to pay given hours and rate,Number of work hours by an employee,hours*rate,,,,Updates board with player's mark at given position,Row's index to be updated,Column's index to be updated,,,,,,,,,,,,Calculates profit of selling the sandwiches,Number of sandwiches,,,,,,,,,,,,,,,,,Enlarges the image by factor,width = new_width,,
Male,32,6,No,,,,,,,,,,,Returns amount to pay given hours and rate,Number of work hours by an employee,hours*rate,Updates board with player's mark at given position,Row's index to be updated,Column's index to be updated,,,,,,,,,,,,,,,,,,,Calculates profit of selling the sandwiches,Number of sold sandwiches,Not clear if it is unit or total cost ,Price per unit,,,,,Integer,"0, 1, 2",Player selections (R/P/C),Player objects,,,Resizes the image by factor,width *= factor,Unknown,
Male,38,19,No,,,Yes,Exposes a tile and updates adjacent cells if necessary,,,,,,,,,,,,,,,,,,,,,,,returns an ordered list of the files,,List of files or file names,void or result code - number of files reordered,,,,,,,,,,,,,,,,,,"[5, 7, 9] or [1, 2, 3, 4, 5, 6]",Enlarges the image by factor,width = new_width,,
Male,21,4,No,,,,,,,,,,,,,,,,,,,,Updates board with player's mark at given position,Row's index to be updated,Column's index to be updated,"returns an ordered list of the files, ordered lexicography by name",,List of files,void (in-place sorting),,,,,,,,,,,,,Determines the direction of the elevator then travels to the requested floor,,,,,,,,,"[1, 2, 3, 4, 5, 6]",,,,
Male,,10,No,,,Yes,"Ends the game if there's a mine, otherwise exposes a tile",,,,,,,,,,,,,,,,Updates board with player's mark at given position,Row's index to be updated,Column's index to be updated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Male,33,3,No,,,,,,,,,,,Returns amount to pay given hours and rate,Number of work hours in a payment period by an employee,hours*rate,,,,,,,,,,"returns an ordered list of the files, ordered lexicography by name",Files to sort,List of files,Sorted list of files,,,,,,,,,units*(price-cost),Number of sold sandwiches,Cost per unit,Price per unit,,,,,,,,,,"[5, 7, 9]",,,Unknown,
Male,44,10,No,,,Yes,Calculates the new board state after clicking on a tile,,,,,,,Returns amount to pay given hours and rate,Number of work hours by an employee,hours*rate,,,,"Unclear, maybe requesting user input",Row's index to be updated,Column's index to be updated,,,,,,,,,,,,,,,,,,,,Determines the direction of the elevator then travels to the requested floor,"start_floor, end_floor",,,,,,,,,Resizes the image,width = width + delta,,
Male,35,10,No,,,,,,,,,,,,,,,,,Updates board with player's mark at given position,Row's index to be updated,Column's index to be updated,,,,,,,,"returns an ordered list of the files, ordered lexicography by name",Files to sort,List of files,List of files,,,,,,,,,,,Determines the direction of the elevator then travels to the requested floor,"floor_index, number_of_floors",Player object,Reference to winner,Player objects,Player objects,Player object containing choice,Error,,,,
Female,29,2,Yes,Master's Degree,3,,,,,,,,,,,,Updates board with player's mark at given position,Row's index to be updated,Column's index to be updated,,,,,,,"returns an ordered list of the files, ordered lexicography ascending by name",,List of files,Sorted copy of input,,,,,,,,,,,,,Determines the direction of the elevator then travels to the requested floor,"i, num_floors",,,,,,,,"[5, 7, 9]",Resizes the image by factor,width *= factor,,
Male,53,27,No,,,,,No,Exposes a tile according to the game rules,Returns amount to pay given hours and rate,Number of work hours in a payment period by an employee,An employee hourly wage,hours*rate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Determines the direction of the elevator then travels to the requested floor,,,,Integer,"0, 1",Player selections (R/P/C),Enums,"Rock, Paper, Scissors (enum)",,,,,
Male,22,6,Yes,Bachelor's Degree,4,,,,,,,,,,,,,,,Updates board with player's mark at given position,Row's index to be updated,Column's index to be updated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[5, 7, 9]",Resizes the image by factor in each dimension,width *= factor,,
Male,27,7,Yes,Bachelor's Degree,4,Yes,Returns whether there is a mine in a tile,,,,,,,Transfers funds given hours and rate,Number of work hours by an employee,hours*rate,,,,,,,,,,,,,,,,,,,,,,units*(price-cost),Number of sold sandwiches,Cost per unit,Price per unit,Determines the direction of the elevator then travels to the requested floor,"i, top_floor",,,,,,,,"[5, 7, 9]",,,Unknown,
Male,30,5,Yes,Doctorate or higher,2,,,,,Returns amount to pay given hours and rate,Number of work hours by an employee,An employee hourly wage,hours*rate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Female,24,2,Yes,Bachelor's Degree,4,,,,,,,,,,,,Updates board with player's mark at given position,Row's index to be updated,Column's index to be updated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Male,25,2,Yes,Bachelor's Degree,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Calculates profit of selling the sandwiches,Number of sandwiches,Cost per unit,Selling price per sandwich,,,,,Determines the direction of the elevator then travels to the requested floor,"i, end",,,,,,,,"[1, 2, 3, 4, 5, 6]",,,,
Male,26,6,Yes,Master's Degree,2,Yes,Clicks on a tile,,,,,,,,,,,,,,,,Updates board with player's mark at given position,Row's index to be updated,Column's index to be updated,,,,,,,,,,,,,,,,,Determines the direction of the elevator then travels to the requested floor,"current_floor, max_floor",,,Enum,"PlayerA, PlayerB, Tie (enum)",Player selections (R/P/C),Enums,"Rock, Paper, Scissors (enum)",,Enlarges the image by factor in each dimension,width *= factor,,
Male,33,3,No,,,Yes,Exposes a tile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Calculates profit of selling the sandwiches,Number of sold sandwiches,Cost per unit,Price per unit,,,Determines the direction of the elevator then travels to the requested floor,,Character,"A, B",Player selections (R/P/C),,"Rock, Paper, Scissors (unspecified type)",,Resizes the image by factor,width = new_width,Unknown,
Male,38,7,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Calculates profit of selling the sandwiches,Number of sandwiches,Cost per unit,Selling price per sandwich,,,,,,,,,,,,,,,,,,
Male,26,4,Yes,Bachelor's Degree,4,,,,,,,,,,,,,,,Updates board with player's mark at given position,Row's index to be updated,Column's index to be updated,,,,,,,,,,,,,,,,Calculates profit of selling the sandwiches,Number of sold sandwiches,Cost per unit,Selling price per sandwich,,,Determines the direction of the elevator then travels to the requested floor,,Integer,"0, 1, 2",Player selections (R/P/C),Strings,"""Rock"", ""Paper"", ""Scissors""",,,,Unknown,
Male,22,5,Yes,Bachelor's Degree,3,,,Yes,Handles a mouse click on a tile,Returns amount to pay given hours and rate,Number of work hours by an employee,An employee hourly wage,hours*rate,,,,,,,,,,,,,,,,,"returns an ordered list of the files, ordered by name",Files to sort,List of files,Array,,,,,,,,,,,Determines the direction of the elevator then travels to the requested floor,"i, top_floor",,,,,,Error,,,,
Male,28,3,Yes,Bachelor's Degree,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Determines the direction of the elevator then travels to the requested floor,,Integer,"0, 1, 2",Player selections (R/P/C),Enums,,,,,,
Male,43,25,No,,,,,,,,,,,,,,,,,,,,,,,"returns an ordered list of the files, ordered lexicography by name",,List of files (in-place),void,,,,,,,,,,,,,Determines the direction of the elevator then travels to the requested floor,,,,Same as input type,Reference to winner or null,Player selections (R/P/C),Player objects or player IDs,,"[5, 7, 9] or [1, 2, 3, 4, 5, 6]",,,,
Male,31,9,No,,,,,,,,,,,,,,,,,,,,Updates board with player's mark at given position,Row's index to be updated,Column's index to be updated,"returns an ordered list of the files, ordered lexicography by name",Files to sort,List of files,Sorted list of files,,,,,,,,,,,,,,,,,,,,,,"[5, 7, 9]",Resizes the image by factor,width = new_width,,
Male,26,10,No,,,,,,,,,,,Returns amount to pay given hours and rate,Number of work hours by an employee,hours*rate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Male,29,5,Yes,Master's Degree,2,,,Yes,Handles a mouse click on a tile then win/lose,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Determines the direction of the elevator then travels to the requested floor,"floor, floors",,,Enum,"PlayerA, PlayerB, Tie (enum)",Player selections (R/P/C),,"Rock, Paper, Scissors (unspecified type)",,,,,
Female,26,7,Yes,Bachelor's Degree,3,,,,,,,,,,,,,,,,,,,,,"returns an ordered list of the files, ordered lexicography by name",Files to sort,List of files,void or success/failure,,,,,,,,,,,,,,,Determines the direction of the elevator,"b, buttons",,,,,,,,,,
Male,31,6,No,,,,,,,,,,,,,,Change position to given position,Row's index to be updated,Column's index to be updated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Male,34,8,Yes,Doctorate or higher,6,,,,,,,,,,,,,,,Updates board with player's mark at given position,Row's index to be updated,Column's index to be updated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[5, 7, 9]",Enlarges the image by factor in each dimension,width *= factor,,
Female,25,2,No,,,,,,,,,,,,,,,,,,,,,,,"returns an ordered list of the files, ordered lexicography by name",,List of files,Sorted list of files,,,,,,,,,,,,,,,,,,,,,,,,,,
Male,29,2,No,,,,,,,,,,,,,,Updates board with player's mark at given position,Row's index to be updated,Column's index to be updated,,,,,,,"returns an ordered list of the files, ordered lexicography by name",,List of files,List of files,,,,,,,,,,,,,,,,,Player object,Reference to winner,Player objects,,,"[1, 2, 3, 4, 5, 6]",Enlarges the image by factor,width *= factor,,
Female,22,2,Yes,Bachelor's Degree,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,
Female,32,8,No,,,Yes,Exposes all mines in a certain row and column,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[5, 7, 9] or [1, 2, 3, 4, 5, 6]",Resizes the image by factor,width *= factor,,
Male,27,4,Yes,Bachelor's Degree,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,units*(price-cost),Number of sold sandwiches,Cost per unit,Price per unit,,,Determines the direction of the elevator then travels to the requested floor,"floor, floors",,,,,,"[5, 7, 9]",,,Unknown,
Male,50,29,No,,,,,Yes,Exposes a tile according to the game rules,,,,,,,,,,,Initializes the cell for user input,Row's index to be updated,Column's index to be updated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Male,27,4,Yes,Master's Degree,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Integer,,Player selections (R/P/C),Integers,"0, 1, 2","[1, 2, 3, 4, 5, 6]",Resizes the image by factor,width *= factor,,
Male,44,15,No,,,Yes,Exposes a tile,,,,,,,,,,Updates board with player's mark at given position,Row's index to be updated,Column's index to be updated,,,,,,,"returns an ordered list of the files, ordered lexicography by name",Files to sort,List of files,Sorted list,,,,,,,,,,,,,,,Determines the direction of the elevator then travels to the requested floor,"i, top_floor",,,,,,,Enlarges the image by factor,width *= factor,,
Male,36,12,No,,,,,,,,,,,Transfers funds given hours and rate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Female,27,4,Yes,Master's Degree,1,Yes,Exposes a tile,,,,,,,,,,Updates board with player's mark at given position,Row's index to be updated,Column's index to be updated,,,,,,,"returns an ordered list of the files, ordered lexicography by name",,List of files,"True if succeeded sorting, false otherwise",,,,,units*(price-cost),Number of sandwiches,Cost per unit,Selling price per sandwich,,,,,,,,,,,,,,,,,,
Male,31,7,No,,,Yes,Exposes a tile and returns whether there is a mine in it,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Determines the direction of the elevator then travels to the requested floor,,,,,,,"[5, 7, 9]",Enarges the image by factor in each dimension,width *= factor,,
Male,27,,Yes,Bachelor's Degree,3,,,,,,,,,,,,,,,,,,,,,"returns an ordered list of the files, ordered lexicography by name",Files to sort,List of files,void (in-place sorting),,,,,,,,,,,,,,,,,,,,,,,,,,
Male,31,12,No,,,,,,,,,,,,,,,,,"Checks board state at given position, updates with player's mark and checks if won/lost",Row's index to be updated,Column's index to be updated,,,,"returns an ordered list of the files, ordered lexicography by name",,List of files,Sorted list of files,,,,,Calculates profit of selling the sandwiches,Number of sandwiches to check profit,Cost per unit,Selling price per sandwich,,,,,,,,,Player ID,ID or name,"Irrelevant since game is played by choices, not players",Enums,"Rock, Paper, Scissors (enum)",,,,,
Female,22,0,Yes,Bachelor's Degree,3,,,,,,,,,,,,,,,,,,,,,"returns an ordered list of the files, ordered lexicography by name",,,,"returns an ordered list of the files, ordered lexicography by name",,List of files,Sorted list of files,,,,,,,,,,,,,,,,,,,,,,
Male,26,4,Yes,Bachelor's Degree,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Integer,,Player objects,Integers,,,,,,
Female,27,3,Yes,Bachelor's Degree,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Enlarges the image by factor,width *= factor,,
Male,29,12,No,,,,,,,,,,,,,,,,,Updates board with player's mark at given position,Row's index to be updated,Column's index to be updated,,,,,,,,,,,,,,,,units*(price-cost),Number of sold sandwiches,Cost per unit,Price per unit,,,,,Same as input type,Reference to winner,Player objects,Strings,,,,,,
Male,28,4,Yes,Master's Degree,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[5, 6, 7]",,,,
Male,27,8,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Determines the direction of the elevator then travels to the requested floor,"i, max_floor",Boolean,"0, 1",Player selections (R/P/C),Integers,,,,,,
Male,17,1,Yes,Bachelor's Degree,2,,,Yes,Exposes a tile,Transfers funds given hours and rate,Number of work hours by an employee,An employee hourly wage,hours*rate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[5, 7, 9]",,,,
Male,28,5,Yes,Master's Degree,1,,,,,,,,,,,,,,,,,,,,,"returns an ordered list of the files, ordered lexicography by name",Files to sort,Array,Sorted list of files,,,,,,,,,,,,,,,,,,,,,,,,,,
Female,22,5,Yes,Bachelor's Degree,2,Yes,Exposes a tile and tiles around it,,,Returns amount to pay given hours and rate,Number of work hours by an employee,An employee hourly wage,hours*rate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Enum,"PlayerA, PlayerB, Tie (enum)",Player selections (R/P/C),Enums,"Rock, Paper, Scissors (enum)",,,,,
Male,34,14,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Same as input,Reference to winner or null,Player selections (R/P/C),Player objects,Player object,,,,,
Male,27,10,Yes,Master's Degree,1,,,Yes,Exposes a tile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Determines the direction of the elevator,,,,,,,,,,,,,
Male,29,5,Yes,Master's Degree,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Resizes the image by factor,width = new_width,,
Male,26,2,Yes,Bachelor's Degree,3,,,,,,,,,,,,Updates board with player's mark at given position,Row's index to be updated,Column's index to be updated,,,,,,,"returns an ordered list of the files, ordered lexicography ascending by name",Files to sort,List of files,Either sorted list of files or void (in-place sorting),,,,,Calculates profit of selling the sandwiches,Number of sold sandwiches,Cost per unit,Selling price per sandwich,,,,,,,,,Same as input,Reference to winner,Player selections (R/P/C),,"Rock, Paper, Scissors (unspecified type)",,,,,
Male,33,3,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[5, 7, 9]",,,,
Male,28,2,Yes,Master's Degree,2,,,,,,,,,,,,,,,,,,Updates board with player's mark at given position,Row's index to be updated,Column's index to be updated,,,,,,,,,Calculates profit of selling the sandwiches,Number of sandwiches produced,Cost per unit,Selling price per sandwich,,,,,,,,,,,,,,,,,,
Male,25,3,Yes,Bachelor's Degree,3,,,,,,,,,,,,,,,,,,Updates board with player's mark,Row's index to be updated,Column's index to be updated,,,,,,,,,,,,,,,,,,,,,,,,,,"[5, 7, 9]",,,,
Female,24,10,Yes,Bachelor's Degree,3,,,,,,,,,,,,,,,,,,Updates board with player's mark at given position,Row's index to be updated,Column's index to be updated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Male,33,6,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[5, 7, 9]",,,,
Male,33,6,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Determines the direction of the elevator then travels to the requested floor,current_floor,,,,,,,,,Enlarges the image by factor,width *= factor,,
Female,42,13,No,,,,,,,,,,,,,,,,,Updates board with player's mark at given position,Row's index to be updated,Column's index to be updated,,,,,,,,,,,,Calculates profit of selling the sandwiches,Number of sandwiches produced,Price of producing all sandwiches,Selling price per sandwich,,,,,,,Determines the direction of the elevator,,Boolean,"0, 1",Player selections (R/P/C),Strings,"""Rock"", ""Paper"", ""Scissors""","[5, 7, 9]",Enlarges the image by factor,width *= factor,,
Male,31,3,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,units*(price-cost),,,,,,,,,,,,,,,,,
Female,26,4,Yes,Master's Degree,2,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Female,33,13,Yes,Doctorate or higher,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Travels to the requested floor,"floors, top_floor",,,,,,"[5, 7, 9]",Enlarges the image by factor,width *= factor,,
Male,29,3,Yes,Bachelor's Degree,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Resizes the image by factor,Resize(width),,
Female,39,17,No,,,,,,,,,,,,,,,,,Updates board with player's mark at given position,Row's index to be updated,Column's index to be updated,,,,,,,,,,,,,,,,,,,,Determines the direction of the elevator then travels to the requested floor,"i, num_floors",,,,,,,,,Resizes the image,width *= factor,,
Female,31,9,No,,,,,,,,,,,,,,,,,,,,Updates board with player's mark at given position,Row's index to be updated,Column's index to be updated,,,,,,,,,,,,,,,,,,,Operates an elevator,,Player object,Reference to winner,Player selections (R/P/C),Player objects,Player object,,,,,
Male,30,11,Yes,Doctorate or higher,2,,,Yes,,,,,,,,,,,,Updates board with player's mark at given position,Row's index to be updated,Column's index to be updated,,,,,,,,,,,,units*(price-cost),,,,,,,,,,,,Integer,"1, 2",Player selections (R/P/C),Integers,"1, 2, 3","[5, 7, 9]",Enlarges the image by factor,width *= factor,,
Female,34,9,No,,,,,,,Transfers funds given hours and rate,Number of work hours by an employee,An employee hourly wage,hours*rate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Male,34,9,No,,,,,,,,,,,,,,,,,,,,Updates board with player's mark at given position,Row's index to be updated,Column's index to be updated,,,,,,,,,,,,,units*(price-cost),Number of sold sandwiches,Cost per unit,Price per unit,,,Determines the direction of the elevator,,,,,,,"[5, 7, 9]",Resizes the image,width *= factor,,
Male,27,5,Yes,Master's Degree,1,,,Yes,Don't know,Returns amount to pay given hours and rate,Number of work hours by an employee,An employee hourly wage,hours*rate+additions,,,,,,,,,,,,,,,,,returns an ordered list of the files,,List of files,void,,,,,Calculates profit of selling the sandwiches,Number of sold sandwiches,Cost per unit,Selling price per sandwich,,,,,,,,,,"[5, 7, 9]",,,,
Male,25,2,No,,,,,,,,,,,Returns amount to pay given hours and rate,Number of work hours by an employee,hours*rate,,,,Updates board with player's mark at given position,Row's index to be updated,Column's index to be updated,,,,,,,,"returns an ordered list of the files, ordered lexicography by name",Input files,List of files,Sorted list of files,Calculates profit of selling the sandwiches,Number of sandwiches produced or sold,Cost per unit,Selling price per sandwich,,,,,,,,,,,,,,"[5, 7, 9]",,,,
Male,31,10,Yes,Master's Degree,2,,,Yes,"Returns list of (coord, value) tuples where value is not 0 which enclose the tile",,,,,,,,Updates board with player's mark at given position,Row's index to be updated,Column's index to be updated,,,,,,,,,,,,,,,Calculates profit of selling the sandwiches,Number of sandwiches,Cost per unit,Selling price per sandwich,,,,,,,,,,,,,,"[5, 7, 9]",,,,
Male,26,4,Yes,Master's Degree,0,,,Yes,"Exposes a tile, updates the grid and returns whether the player won",,,,,,,,,,,,,,Updates board with player's mark at given position,Row's index to be updated,Column's index to be updated,,,,,"returns an ordered list of the files, ordered lexicography by name",List of files,List of files,Sorted copy of input,Calculates profit of selling the sandwiches,Number of sandwiches produced,Cost per unit,Selling price per sandwich,,,,,,,,,Integer,"0, 1",Player selections (R/P/C),Integers,"0, 1, 2",,,,,
Female,28,10,No,,,,,Yes,Exposes a tile,,,,,,,,,,,,,,,,,,,,,,,,,Calculates profit of selling the sandwiches,Number of sandwiches produced or to be produced,Not clear if it is unit or total cost ,Selling price per sandwich,,,,,Determines the direction of the elevator then travels to the requested floor,top_floor,,,Integer,"-1, 0, 1",Player selections (R/P/C),Enums,"Rock, Paper, Scissors (enum)","[1, 2, 3, 4, 5, 6]",,,,
Male,35,9,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Male,21,4,Yes,Bachelor's Degree,3,,,Yes,"Ends the game if there's a mine, otherwise exposes a tile and possibly nearby tiles",,,,,,,,Updates board with player's mark at given position,Row's index to be updated,Column's index to be updated,,,,,,,,,,,,,,,,,,,,,,,,,Determines the direction of the elevator then travels to the requested floor,"current_level, top_level",Integer,"0, 1",,Integers,"0, 1","[5, 7, 9]",Enlarges the image by factor,width = new_width,,
Male,27,3,Yes,Bachelor's Degree,3,Yes,Exposes a tile,,,,,,,,,,,,,,,,,,,,,,,"returns an ordered list of the files, ordered lexicography ascending by name",,List of files,Either sorted copy of input or void (in-place sorting),,,,,Calculates profit of selling the sandwiches,Number of sold sandwiches,Cost per unit,Selling price per sandwich,Determines the direction of the elevator then travels to the requested floor,"floor, num_floors",,,Integer,"0, 1, 2",Player selections (R/P/C),Enums,"Rock, Paper, Scissors (enum)",,Resizes the image by factor,width *= factor,,
Male,26,4,Yes,Bachelor's Degree,4,,,Yes,Exposes a tile,,,,,,,,Updates board with player's mark at given position,Row's index to be updated,Column's index to be updated,,,,,,,,,,,"returns an ordered list of the files, ordered by name",Files to sort,List of files,Either list or void,,,,,Calculates profit of selling the sandwiches,Number of sold sandwiches,Cost per unit,Selling price per sandwich,,,Determines the direction of the elevator then travels to the requested floor,"i, floors",,,,,,,Resizes the image by factor,width = new_width,,
Male,29,,Yes,Master's Degree,4,Yes,Exposes a tile,,,,,,,,,,,,,,,,,,,,,,,,,,,Calculates profit of selling the sandwiches,Number of sandwiches,Manufacturing cost,Selling price per sandwich,,,,,Determines the direction of the elevator,"floor, max_floor",,,Enum,"PlayerA, PlayerB (enum)",Player selections (R/P/C),Enums,"Rock, Paper, Scissors (enum)","[5, 7, 9]",Enlarges the image by factor,width *= factor,,
Female,27,,Yes,Master's Degree,1,,,,,,,,,Returns amount to pay given hours and rate,Number of work hours by an employee,hours*rate,Updates board with player's mark at given position,Row's index to be updated,Column's index to be updated,,,,,,,,,,,,,,,Calculates profit of selling the sandwiches,Number of sandwiches produced,Cost per unit,Selling price per sandwich,,,,,Determines the direction of the elevator then travels to the requested floor,"dest, pressed_floors, dest, curr",,,Binary,"0, 1",Players,Choice history arrays,Choice history array,,,,,
Male,27,2,Yes,Master's Degree,2,Yes,Exposes a tile,,,,,,,,,,,,,,,,,,,,,,,"returns an ordered list of the files, ordered by name",,File object,Sorted list of file indices,Calculates profit of selling the sandwiches,Number of sandwiches produced,Manufacturing cost,Selling price per sandwich,,,,,,,Determines the direction of the elevator then travels to the requested floor,"floor, num_floors",,,,,,,Resizes the image,width *= factor,,
Male,26,,Yes,Bachelor's Degree,3,,,,,Defines employee's rate and required hours,Number of work hours by an employee,An employee hourly wage,,,,,,,,,,,,,,"returns an ordered list of the files, ordered lexicography by name",Files to sort,File,void,,,,,,,,,Calculates profit of selling the sandwiches,Amount of each ingredient,Cost per unit,Selling price per sandwich,,,,,Integer,"-1, 0, 1",Player objects,Player objects,Player object,,Resizes the image,width *= factor^2,,
Female,25,4,Yes,Bachelor's Degree,4,,,,,,,,,Returns amount to pay given hours and rate,Number of work hours by an employee,hours*rate,,,,Updates board with player's mark at given position,Row's index to be updated,Column's index to be updated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[5, 7, 9]",,,,
Male,45,25,Yes,Doctorate or higher,1,,,Yes,Exposes a tile according to the game rules,Either calculates payment or transfers payment,Number of work hours by an employee,An employee hourly wage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Determines the direction of the elevator then travels to the requested floor,,,,,,,"[5, 7, 9] or [1, 2, 3, 4, 5, 6]",,,,
Female,28,10,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Resizes the image by factor,width *= factor,,
Male,19,4,Yes,Bachelor's Degree,4,,,Yes,Exposes a tile,,,,,,,,,,,,,,Updates board with player's mark at given position,Row's index to be updated,Column's index to be updated,,,,,"returns an ordered list of the files, ordered by name",Files to sort,List of files,Sorted list of files,Calculates profit of selling the sandwiches,Amount of each ingredient,Cost per unit,Selling price per sandwich,,,,,,,,,Player object,Reference to winner,"Simulate game on players A, B",Player objects,Player object,,Resizes the image by factor,width *= factor,,
Female,31,4,No,,,Yes,Returns the numeric value of a time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Male,24,2,Yes,Bachelor's Degree,1,Yes,Returns whether those coords have a mine ,,,Returns amount to pay given hours and rate,Number of work hours by an employee,An employee hourly wage,hours*rate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[5, 7, 9]",Resizes the image by factor,width = new_width,,
Female,26,3,Yes,Bachelor's Degree,4,,,,,Returns amount to pay given hours and rate,Number of work hours by an employee,An employee hourly wage,hours*rate,,,,,,,,,,,,,,,,,,,,,Calculates profit of selling the sandwiches,Number of sandwiches produced,Cost per unit,Selling price per sandwich,,,,,,,,,,,,,,"[5, 7, 9]",Resizes something by factor,width *= factor,,
Male,27,,Yes,Bachelor's Degree,4,Yes,Updates GUI after clicking on a tile,,,Returns amount to pay given hours and rate,Number of work hours by an employee,An employee hourly wage,hours*rate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Determines the direction of the elevator then travels to the requested floor,"floor, floors",,,,,,,,,,
Male,27,1,Yes,Bachelor's Degree,3,Yes,Returns whether there is a mine in a tile,,,,,,,,,,,,,,,,,,,"returns an ordered list of the files, ordered lexicography by name",,List of files,Sorted list of files,,,,,,,,,,,,,,,,,,,,,,"[5, 7, 9]",Resizes the image by factor,width /= factor,,
